No,食品名,量(g),カロリー(kcal) ,タンパク質(g),脂質(g),炭水化物(g)
1141,山菜うどん,419,352,11.77,1.01,71.9
1142,そうめん,270,343,9.45,1.08,69.66
1143,中華麺,230,343,11.27,1.38,67.16
1144,沖縄そば,230,338,11.96,1.84,64.4
1145,かけうどん,405,320,9.76,0.93,64.84
1146,そば,260,296,12.48,1.82,57.46
1147,ざるうどん,336,289,8.64,0.97,59.17
1148,赤飯,150,284,5.85,0.6,63.6
1149,ご飯,160,269,4,0.48,59.36
1150,玄米,160,264,4.48,1.6,56.96
1151,ナン,100,262,10.3,3.4,47.6
1152,うどん,230,242,5.98,0.92,49.68
1153,おにぎり,120,215,3.24,0.36,47.28
1154,クロワッサン,40,179,3.16,10.72,17.56
1155,おかゆ,250,178,2.75,0.25,39.25
1156,きりたんぽ,80,168,2.56,0.32,36.96
1157,レーズンパン,60,161,4.92,2.1,30.66
1158,食パン,60,158,5.58,2.64,28.02
1159,コーンフレーク,40,152,3.12,0.68,33.44
1160,焼きおにぎり,80,145,2.48,0.24,31.6
1161,コッペパン,50,133,4.25,1.9,24.55
1162,ライ麦パン,50,132,4.2,1.1,26.35
1163,もち,50,118,2.1,0.4,25.15
1164,イングリッシュマフィン,50,114,4.05,1.8,20.4
1165,ポーチドエッグ,62.5,103,7.69,7.31,0.13
1166,バターロール,30,95,3.03,2.7,14.58
1167,重湯,250,53,0.75,0,11.75
1168,カツカレー,720.6,1103,26.73,47.06,134.68
1169,うな重,433,922,41.78,32.26,110.54
1170,カツ丼,503.6,922,32.78,33.44,113.11
1171,ピザ,501,872,39.73,35.72,97.9
1172,オムライス,489.5,850,28.83,29.66,107.74
1173,カルボナーラ,369.1,779,26.32,39.49,72.38
1174,牛丼,416.5,771,18.03,23.87,112.7
1175,あんかけ焼きそば,487,745,28.83,36.43,69.69
1176,ちゃんぽん,901,721,29.64,23.79,103.07
1177,チャーハン,407,708,18.97,24.05,97.64
1178,中華丼,418.1,694,21.45,19.57,102.48
1179,ワンタンメン,847.9,687,28.74,17.04,97.59
1180,親子丼,468.5,684,31.95,8.11,113.75
1181,五目ラーメン,879.5,660,25.07,23.48,81.88
1182,天丼,380,642,22.95,12.01,103.89
1183,三色丼,401,638,22.78,11.19,104.82
1184,玉子丼,444.5,636,19.78,10.18,109.04
1185,ミートソーススパゲッティ,393.7,614,21.85,16.54,88.39
1186,クッパ,651.5,612,17.46,23.19,78.18
1187,ドリア,354.1,591,21.85,26.95,60.52
1188,ナポリタン,351.1,590,19.17,20.01,78.72
1189,ドライカレー,322.3,587,11.8,12.83,99.98
1190,味噌ラーメン,794.5,580,21.93,15.73,84.3
1191,冷やし中華,415,577,20.5,9.71,92.42
1192,チャーシューメン,784,564,30.34,14.11,72.6
1193,チキンライス,327.6,563,14.55,14.22,90.02
1194,タンメン,704.1,556,21.48,16.83,74.42
1195,お好み焼き,237,545,19.69,22.89,60.34
1196,釜飯,324.1,525,13.55,3.66,104.2
1197,エビピラフ,313.5,520,14.17,11.91,84.86
1198,鍋焼きうどん,561,499,24.85,11.61,69.96
1199,マカロニグラタン,321,488,23.47,23.91,41.51
1200,肉そば,490,484,24.06,9.51,73.79
1201,チーズバーガー,233.5,474,24.21,22.98,39.91
1202,ボンゴレ,318.1,474,15.59,10.43,72.15
1203,醤油ラーメン,757.5,470,21.06,8.64,73.17
1204,焼きそば,280.9,469,15.28,13.48,67.95
1205,とろろそば,495,448,18.96,1.93,88.85
1206,和風きのこパスタ,328.5,440,16.56,6.93,75.52
1207,肉うどん,460,428,17.53,8.6,66.01
1208,焼きうどん,360.9,415,13.32,11.84,60.05
1209,ホットドッグ,157,414,14.07,22,39.58
1210,とろろうどん,465,391,12.46,1.07,81.1
1211,ポテトグラタン,286.3,384,12.88,22.88,31.41
1212,雑炊,236,328,10.83,3.8,60.25
1213,たこ焼き,123.5,317,12.57,8.19,44.98
1214,サンドイッチ,113.6,314,12.2,21.24,17.84
1215,ピザトースト,121.5,300,11.54,14.4,30.58
1216,お茶漬け,365.8,278,6.95,1.35,56.63
1217,トースト,70,233,5.64,10.74,28.04
1218,モダン焼き,612,1297,50.67,61.93,125.77
1219,ハヤシライス,656.1,1077,31.82,45.8,122.1
1220,オムハヤシ,564,1060,31.19,71.46,62.94
1221,わんこそば,1098,1054,45.35,8.89,199.73
1222,豚丼,504,806,19.05,26.16,113.55
1223,海鮮丼,500,790,52.8,16.05,101.4
1224,たらこスパゲッティ,346.5,742,32.19,33.58,72
1225,ペスカトーレ,582.5,740,42.99,20.91,80.73
1226,チヂミ,449.25,737,31.94,37.6,61.91
1227,そばめし,403,693,16.6,21.84,98.69
1228,麻婆丼,435,666,19.88,16.27,103.49
1229,かき揚げ丼,397,645,13.62,9.13,119.06
1230,皿うどん,523.5,644,22.04,32.46,61.72
1231,ビビンバ,466.7,593,17.41,27.21,67.62
1232,鴨南蛮,644,590,23.18,16.36,75.8
1233,ライスバーガー,275.1,583,11.09,27.76,68.03
1234,塩焼きそば,344,557,14.55,25.22,64.09
1235,にゅうめん,671,537,19.86,5.5,88.1
1236,もんじゃ焼き,542.7,510,18.34,21.44,57.63
1237,ペペロンチーノ,277.5,505,13.99,14.51,75.04
1238,塩ラーメン,748,471,19.9,9.57,70.39
1239,天津飯,389,471,17.93,11.55,67.84
1240,照り焼きチキンバーガー,192,468,21.12,27.49,30.18
1241,ミートソースドリア,261.1,454,10.52,22.66,49.53
1242,焼きビーフン,243.7,426,14.72,17.45,48.06
1243,ハンバーガー,218.5,422,20.8,19.08,39.7
1244,カツサンド,160,421,16.59,21.07,38.98
1245,汁ビーフン,398,418,13.65,17.27,47.56
1246,リゾット,388.5,416,9.79,22.26,40.05
1247,きりたんぽ鍋,609,390,22.05,13.15,44.64
1248,卵かけご飯,238,374,12.78,6.66,61.36
1249,カレーパン,124.04,358,9.19,16.58,41.03
1250,ペンネアラビアータ,302.2,341,7.86,13.42,41.7
1251,コロッケパン,146,339,7.29,13.88,45.49
1252,栗おこわ,150.2,327,5.8,1.2,69.83
1253,串カツ,100.1,306,11.55,23.41,9.79
1254,山菜おこわ,131.5,299,6.19,0.99,63.69
1255,フレンチトースト,152,298,10.94,10.87,38.46
1256,ラザニア,193,290,10,16.06,24.7
1257,牛乳入りシリアル,240,286,9.72,8.28,43.03
1258,メロンパン,81.6,276,6.32,5.95,47.22
1259,栗ご飯,160,264,4.45,0.69,57.09
1260,天むす,167,249,6.75,3.01,46.33
1261,中華ちまき,100.4,246,5.65,7.39,36.15
1262,たけのこご飯,160,245,6.34,2.02,46.96
1263,焼きそばパン,110,233,7.51,4.79,39.06
1264,炊き込みご飯,161.2,231,4.63,1.1,48.04
1265,ジャムパン,81.7,230,4,2.99,45.9
1266,あんぱん,80.7,218,6.39,3.11,40.63
1267,クリームパン,91.7,216,6.12,6.13,32.89
1268,スープカレー,739,968,49.73,38.58,97.03
1269,ロコモコ,600.2,918,34.45,32.11,114.88
1270,魯肉飯,463.3,871,24.79,33.45,105.35
1271,カルビ丼,391,794,19.35,30.11,103.54
1272,納豆チャーハン,395,754,22.16,26.94,100.45
1273,そうめんチャンプルー,446,749,19.76,35.77,76.85
1274,あんかけチャーハン,538.9,733,20.21,23.5,101.64
1275,ナシゴレン,407.22,723,16.74,25.82,98.18
1276,ちらし寿司,448.5,718,43.24,16.73,92.66
1277,豚ひき肉のボロネーゼパスタ,601.3,692,30.19,20.93,85.08
1278,キムチチャーハン,396.2,681,15.53,22.15,99.05
1279,麻婆丼,435,666,19.88,16.27,103.49
1280,海南鶏飯,405,660,30.86,28.03,64.88
1281,サラダうどん,527,643,13.23,34.04,68.09
1282,明太子クリームパスタ,428,638,26.32,21.53,80.34
1283,ひつまぶし,536.1,633,30.18,20.64,74.73
1284,ネギトロ丼,404,626,37.09,8.69,93.93
1285,マルゲリータ,181.8,565,20.49,27.6,57.89
1286,チキンドリア,377.5,551,19.59,20.72,68.44
1287,和風明太子パスタ,351.5,517,23.8,11.74,75.12
1288,鶏飯,566.83,504,21.88,12.98,67.91
1289,かき揚げそば,716.7,466,18.35,8.46,76.04
1290,サムゲタン,448.5,426,23.5,18.21,38.35
1291,かき揚げうどん,457.2,416,12.85,7.5,71.6
1292,ジャンバラヤ,327.1,412,13.08,9.42,65.22
1293,冷やしうどん,530,408,17.81,4.98,69.38
1294,釜玉うどん,383,383,17.62,7.2,57.64
1295,豆腐グラタン,297.8,310,13.79,20.7,16.97
1296,タコめし,220,308,12.56,0.81,58.23
1297,ハニートースト,91,295,5.68,10.74,44.78
1298,鯛めし,158,267,14.01,5.83,36.53
1299,アランチーニ,128.35,258,5.62,18.14,15.03
1300,酢飯,160,258,4.06,0.59,56.11
1301,茶飯,158.54,255,4.39,0.65,55.6
1302,バターライス,142.4,239,3.79,2.83,47.13
1303,ブリトー,221.86,220,8.25,6.35,31.75
1304,納豆巻き,130.5,217,7.62,2.94,38.76
1305,菜飯,162,207,4.13,0.53,43.76
1306,鉄火巻き,133.5,206,10.17,1.09,37.35
1307,ポレンタ,200.3,182,4.15,2,36.19
1308,チーズパン,61,181,6.54,7.06,21.07
1309,かっぱ巻き,130.5,171,3.72,0.46,36.88
1310,タコス,92.8,145,6.01,5.77,15.73
1311,パエリア,159.8,129,7.45,4.06,14.83
1312,ご飯パン,59.65,129,3.26,1.46,24.27
1313,いなり寿司,72.7,118,3.32,4.18,16.06
1314,柿の葉寿司,43.9,81,2.22,2.02,12.39
1315,トルティーヤ,28.8,74,1.45,1.3,13.32
1316,キンパッ,43.7,70,2.47,1.81,11.19
1317,太巻き,32.91,47,1.21,0.7,8.56
1318,ボルガライス,697.6,1381,49.6,76.25,106.52
1319,トルコライス,561,1116,36.02,56.89,103.45
1320,かつめし,547.1,1116,34.63,49.68,120.47
1321,エスカロップ,531,1030,31.75,50.02,102.16
1322,ハンバーグカレー,570,1020,34.26,39.22,127.34
1323,シシリアンライス,558.8,1011,30.4,45.26,111.54
1324,ハントンライス,522.5,873,31.3,32.71,106.59
1325,チキンカレー,542.6,857,29.95,35.27,97.4
1326,手巻き寿司,559.25,789,39.15,7.89,135.62
1327,豆カレー,572.2,784,15.79,17.17,137.16
1328,ツナトマトパスタ,462.5,782,28.49,37.79,77.61
1329,冷製パスタ,591.5,775,16.5,39.63,87.31
1330,焼き鳥丼,458,774,31.19,20.52,107.26
1331,ジェノベーゼパスタ,311.8,751,18.61,39.69,73.05
1332,あんかけチャーハン,538.9,733,20.21,23.5,101.64
1333,タコライス,534.7,733,24.44,19.84,108.44
1334,カレーチャーハン,400.7,721,16.15,25.81,101.02
1335,いくら丼,365,701,39.75,16.9,93.08
1336,レタスチャーハン,398,700,17.63,24.8,95.96
1337,スモークサーモンの冷製パスタ,327.3,678,24.97,29.78,73.28
1338,えびめし,392.5,663,14.76,15.46,111
1339,助六寿司,422,658,18.23,19.45,98.41
1340,カッペリーニ,543.2,646,15.05,26.56,84.47
1341,ツナパスタ,319,597,20.83,22.33,73.63
1342,アマトリチャーナスパゲティ,466.4,592,24.25,17.02,80.69
1343,寿司,389.5,588,35.48,9.74,85.81
1344,コロッケそば,504,554,19,13.76,87.8
1345,うに丼,346,536,19.83,4.26,101.65
1346,ウニパスタ,306.3,536,19.6,16.23,73.3
1347,キャベツとアンチョビのパスタ,349.5,528,15.27,16.18,76.26
1348,鉄火丼,346,522,28.37,2.15,92.38
1349,バインミー,227.5,496,20.16,18.93,60.83
1350,うどんすき,720,432,23.76,6.55,60.19
1351,冷やしたぬきそば,449,430,17.15,6.15,75.66
1352,クロックムッシュ,135,379,14.05,21.61,31.43
1353,ガーリックライス,175.9,378,4.49,12.54,57.96
1354,ホットサンド,144,333,14.21,19.94,23.77
1355,中華粥,312.2,287,12.61,7.09,39.84
1356,麦ご飯,158.4,252,4.4,0.73,55.66
1357,鶏五目ご飯,158.2,236,7.51,4.75,37.83
1358,ケサディーヤ,82.6,233,8.58,9.1,26.97
1359,松茸ご飯,159.8,232,4.51,0.62,49.54
1360,ピロシキ,69.1,205,5.77,11.9,17.33
1361,クランペット,85.5,189,5.15,5.71,27.58
1362,クルミパン,58.9,188,4.51,8.91,21.92
1363,たまごサンド,62.5,181,5.55,13.17,9.21
1364,白味噌雑煮,176.3,157,4.37,1.29,30.92
1365,雑煮,183.9,147,4.62,1.51,27.09
1366,ミルクパン,49.2,137,3.91,3.76,20.63
1367,ベーグル,60,127,3.89,0.6,25.19
1368,広島風お好み焼き,493.6,869,26.75,45.46,82.53
1369,パーコー麺,728.6,860,29.58,40.58,85.46
1370,ソースカツ丼,413.6,823,23.99,26.14,114.36
1371,焼肉定食,649,805,27.78,30.63,96.51
1372,あんかけスパゲティ,566,781,33.68,28.92,92.14
1373,シーフードカレー,647,738,27.11,17.34,113.23
1374,麻婆麺,922.5,710,33.39,25.55,78.87
1375,高菜チャーハン,388.2,695,16.61,23.52,96.7
1376,五目チャーハン,387,693,16.6,22.45,98.26
1377,油麩丼,486.9,648,17.58,9.11,116.56
1378,つけ麺,577.6,647,26.4,19.29,81.96
1379,焼きカレー,417.9,631,22.86,27.62,67.62
1380,オムソバ,342.2,630,22.76,27.31,67.28
1381,麻婆茄子丼,398.2,609,15.13,11.95,103.45
1382,味噌煮込みうどん,721,570,26.17,15.93,72.1
1383,すき焼きうどん,449,548,19.89,15.18,72.96
1384,シーフードグラタン,381,545,28.12,27.13,43.62
1385,ベーコンチーズバーガー,224.7,537,26.22,29.59,38.87
1386,うに丼,346,536,19.83,4.26,101.65
1387,パングラタン,312.6,469,24.88,21.88,42.23
1388,なめこおろしそば,586,402,17.93,2.05,79.75
1389,太平燕,569.8,399,16.18,22.79,30.14
1390,肉巻きおにぎり,193.1,398,13.07,13.63,50.73
1391,カヤトースト,153.5,398,14.23,22.4,33.56
1392,どろ焼き,484.6,397,15.26,10.61,57.67
1393,フィッシュバーガー,185.1,387,21.29,16.25,36.93
1394,なめこそば,466,377,17.15,1.91,74.61
1395,深川めし,406.3,353,9.22,0.93,71.39
1396,伊勢うどん,349,346,9.81,0.98,67.6
1397,なめこおろしうどん,556,345,11.4,1.17,71.95
1398,ミートソースグラタン,229.7,340,14.29,15.32,34.43
1399,わかめご飯,168.3,273,4.63,2.1,57.04
1400,ジューシー,158.8,262,6.15,6.4,42.43
1401,シュガートースト,76,256,5.64,10.74,34.04
1402,ダッチブレッド,100.3,251,7.68,8.68,33.21
1403,豆ご飯,156,246,6.08,1.78,48.81
1404,さつまいもご飯,158.2,239,3.51,0.63,52.71
1405,しめじご飯,152,236,4.76,1.9,47.71
1406,ひじきご飯,158.3,234,5.32,3.2,43.11
1407,かにめし,158.5,228,7.23,0.6,44.84
1408,揚げパン,67,225,4.25,6.9,36.55
1409,チャーハンおにぎり,120,217,5.04,6.73,32.29
1410,ネギトロ巻き,133.5,202,8.94,1.04,37.61
1411,しらたきご飯,159.1,200,3.45,0.49,43.9
1412,コーンマヨネーズパン,74.2,200,4.59,7.97,26.54
1413,混ぜご飯,156.8,199,5.6,2.52,35.11
1414,コーンブレッド,72.9,198,4.01,7.69,27.43
1415,アボカドグラタン,71.1,188,4.69,17.76,3.84
1416,ヒラヤーチー,104.1,171,4.42,6.64,21.79
1417,チャパティ,42.2,96,3.2,2.23,17.05
1418,コムタンクッパ,653.5,980,23.72,59.53,77.44
1419,ハンバーグドリア,384,753,28.72,39.94,64.36
1420,メキシカンピラフ,396.6,686,20.23,26.18,87.13
1421,ミックスサンド,255.9,650,22.44,28.25,75.54
1422,ツナチャーハン,445.7,633,26.92,13.55,95.47
1423,テジクッパ,578.1,584,16.24,23.07,68.45
1424,コンナムルクッパ,624,574,16.66,17.22,84.18
1425,アメリカンクラブハウスサンド,224.6,570,20.73,33.76,44.45
1426,ビーフピラフ,316.1,569,15.9,17.89,81.46
1427,ユッケジャンクッパ,644,554,21.51,12.17,83.27
1428,チキンピラフ,320.6,545,14.56,15.93,81.59
1429,ベーコンとエリンギのパスタ,335,529,17.55,16.38,76.82
1430,高菜ピラフ,315.6,527,13.13,14.64,81.8
1431,シーフードピラフ,327.6,491,14.05,10.42,81.67
1432,シーフードドリア,352.6,487,13.82,20.59,54.27
1433,カレードリア,297.1,484,9.15,21.12,61.56
1434,かにピラフ,320.1,483,12.48,10.28,81.37
1435,きのこピラフ,315.1,482,9.23,11.6,82.52
1436,ミラノ風ドリア,264,457,17.5,18.56,50.98
1437,山菜ピラフ,276.1,453,7.07,10.08,80.07
1438,明太フランスパン,125,440,10.8,20.24,53.6
1439,なめこおろしうどん,556,345,11.4,1.17,71.95
1440,BLTサンド,153,340,8.51,19.81,31.95
1441,玉子トースト,134.3,337,13.46,17.9,29.47
1442,ツナサンド,149.1,322,13.49,10.48,43.48
1443,ハムサンド,123.7,319,10.25,11.65,43.08
1444,チリドッグ,147.7,315,11.02,14.95,33.9
1445,ジャムトースト,91,287,5.72,10.76,41.33
1446,シカゴドッグ,152,281,8.76,12.95,32.71
1447,高菜おにぎり,188,271,4.59,0.36,51.21
1448,ハムチーズトースト,99,261,13.26,10.12,29.03
1449,シナモントースト,77,260,5.68,10.78,34.84
1450,ツナマヨおにぎり,133,235,6.06,4.28,41.96
1451,筋子おにぎり,121.5,215,6.21,2.11,41.33
1452,ツナクレープ,122.7,209,6.45,12.07,17.98
1453,焼きたらこおにぎり,121.5,204,5.99,0.98,41.3
1454,生タラコおにぎり,121.5,200,5.56,0.84,41.29
1455,明太子おにぎり,121.5,200,5.26,0.7,41.55
1456,ツナの炊き込みご飯,160.05,198,6.43,2.21,36.56
1457,おかかおにぎり,116.5,195,4.57,0.42,41.61
1458,昆布おにぎり,121.5,194,3.75,0.47,44.64
1459,鮭おにぎり,116.5,193,4.21,0.58,41.25
1460,梅干しおにぎり,121.5,190,3.24,0.39,42.29
1461,かんぴょう巻き,130.5,183,3.84,0.44,39.65
1462,鶏五目おにぎり,111,167,5.64,3.34,26.74
1463,鯖寿司,57,120,4.02,4.45,14.65
1464,卵粥,159.4,115,4.35,2.85,16.4
1465,塩キャベツ,58.9,91,1.01,8.34,3.18
1466,エリンギのバター炒め,110.3,72,3.9,5.38,7.91
1467,サザエのつぼ焼き,64,55,9.1,0.19,1.68
1468,高菜パスタ,448.5,879,33.46,43.68,78.67
1469,かぼちゃカレー,583,746,17.72,17.9,124.18
1470,ガーリックチャーハン,392.5,742,19.11,26.61,99.42
1471,ピーマン丼,416,724,17.76,20.43,107.83
1472,もやしチャーハン,423,706,18.61,24.83,96.02
1473,バリそば,307.9,705,15.95,41.01,61.67
1474,小松菜チャーハン,423,698,21.15,22.63,96.27
1475,水菜パスタ,467.3,668,29.44,20.75,79.72
1476,ゴーヤカレー,601.8,668,18.29,15.11,110.31
1477,トマトカレー,508,650,16.26,14.63,108.25
1478,えび天丼,394,642,22.42,9.38,109.3
1479,ローメン,633,639,25.38,22.53,78.24
1480,モロヘイヤカレー,509,631,15.17,12.83,109.64
1481,ピーマンカレー,500,630,14.35,13.25,108.15
1482,味噌焼きうどん,399,626,21.03,27.05,68.99
1483,ツナのホワイトクリームパスタ,525.3,620,25.37,17.76,86.41
1484,なすとトマトのパスタ,467,616,18.49,22.18,82.38
1485,ブロッコリーのパスタ,355.8,594,19.43,21.92,76.35
1486,小松菜のパスタ,426,584,18.66,21.21,76.59
1487,フィデワ,391.5,525,26.43,20.16,54.46
1488,岩国寿司,354.9,522,12.17,5.18,102.81
1489,かぼちゃグラタン,279.8,504,9.88,31.98,42.81
1490,海鮮焼きそば,438.5,482,26.27,8.42,70.51
1491,高菜ラーメン,759.5,471,18.76,8.58,75.19
1492,冷汁うどん,418.5,414,12.35,9.58,68.72
1493,そばかっけ,177.4,390,7.24,1.97,83.47
1494,かぼちゃリゾット,154.8,339,6.59,13.33,45.26
1495,耳うどん,418,318,10.2,1.76,62.41
1496,牡蠣入りお好み焼き,350,315,15.16,7.6,44.21
1497,うずめ飯,427.3,308,8.55,1.67,62.04
1498,コンビーフサンド,99.5,276,10.7,12.92,29.07
1499,ハムトースト,90,272,8.94,13.52,28.3
1500,生姜ごはん,145.3,247,5.01,1.64,48.86
1501,グリンピースご飯,149.9,232,4.59,0.6,49.57
1502,ふきご飯,144.9,226,4.83,2.29,43.46
1503,チーズトースト,78,219,9.67,7.32,28.25
1504,そば米雑炊,439.1,215,9.31,4.48,31.4
1505,レーズンくるみパン,70.2,211,5.7,6.53,31.6
1506,餡餅雑煮,181.1,192,4.33,0.91,40.26
1507,米粉パン,71.7,185,1.83,3.61,35.43
1508,かんぴょう巻き,130.5,183,3.84,0.44,39.65
1509,抹茶蒸しパン,61,179,3.78,6.09,26.09
1510,かぼちゃパン,75.8,176,4.25,4.48,28.75
1511,パン・オ・フィグ,57.5,161,4.12,5.39,24.38
1512,ほっき飯,157.1,159,5.55,0.63,30.81
1513,ののこめし,89.5,158,5.51,5.89,19.49
1514,バッテラ,68.9,127,4.1,4.47,16.65
1515,茶粥,180,124,2.14,0.32,27.14
1516,ハタハタ寿司,99.8,115,9.2,3.58,10.1
1517,コーントルティーヤ,26.9,77,1.21,2.07,12.62
1518,アボカドカレー,616.3,832,16.7,32.36,115.49
1519,トマトクリームパスタ,433,749,15.41,37.11,82.44
1520,鮭チャーハン,437,739,23.77,23.73,100.86
1521,ウニのクリームパスタ,346.5,738,18.88,38.22,73.94
1522,ガーリックバターライス,311,737,7.78,31.1,100.27
1523,レモンパスタ,392,729,19.36,35.48,77.81
1524,タコチャーハン,398,697,22.41,22.33,94.8
1525,アボカドクリームパスタ,410,693,24.52,29.81,76.96
1526,冬瓜カレー,656,689,15.22,16.27,116.31
1527,パイナップルチャーハン,414.3,675,13.8,18.19,110.87
1528,アボカド納豆丼,386.5,673,17.16,18.9,107.68
1529,アボカドバーガー,312.5,663,29.91,44.09,36.69
1530,ズッキーニカレー,665,658,16.29,13.3,114.85
1531,アボカド丼,402.5,656,25.08,15.05,103.16
1532,パプリカカレー,512,630,14.44,13.16,107.88
1533,クリームチーズパスタ,331.5,620,17.14,26.59,73.63
1534,天かす丼,325,608,9.07,13.75,107.09
1535,穴子丼,356,595,19.44,7.3,106.16
1536,味噌チャーハン,377.3,592,19.81,9.43,100.89
1537,アジ丼,370,566,26.42,5,98.42
1538,柚子胡椒パスタ,311,535,15.21,17.01,77.25
1539,梅しそパスタ,341.5,522,23.5,12.4,74.89
1540,アボカドハンバーグ,221.6,479,20.41,38.69,12.43
1541,鯛茶漬け,463,458,20.46,9.35,67.55
1542,マヨネーズご飯,202,450,5.76,18.54,62.26
1543,アボカドトースト,162.2,436,11.78,29.46,33.46
1544,ラードご飯,190,395,5.4,12.48,61.18
1545,バター醤油ご飯,190,371,5.45,10.2,61.2
1546,アボカドサンド,230,354,24.98,14.26,32.59
1547,柿トースト,171,344,10.05,15.6,41.47
1548,豆乳リゾット,360,342,10.19,12.42,45.04
1549,ガーリックラスク,80.3,338,5.93,18.8,35.39
1550,納豆トースト,126,336,14.35,15.74,34.7
1551,味噌パン,108.8,320,8.92,4.94,57.67
1552,バナナトースト,160,310,6.62,10.93,48.29
1553,フルーツサンド,161,308,6.76,12.33,43.74
1554,卵雑炊,318.5,268,10.86,6.53,38.51
1555,柿ご飯,194.5,263,4.61,0.62,55.96
1556,牡蠣雑炊,351,260,10.85,4.25,41
1557,しそご飯,144.9,251,7.01,1.67,49.54
1558,トマトご飯,194.25,245,4.72,0.58,51.28
1559,味噌おにぎり,138,242,4.75,0.9,51.34
1560,とうもろこしご飯,160,238,4.58,0.98,50.56
1561,グリンピースご飯,149.9,232,4.59,0.6,49.57
1562,むかごご飯,144.1,220,4.05,0.53,47.58
1563,枝豆おにぎり,132.5,219,4.4,1.1,45.58
1564,しそおにぎり,120,191,3.02,0.72,41.6
1565,小豆がゆ,185,178,3.05,0.28,39.29
1566,ブルーベリーパン,60.1,151,3.54,2.67,27.24
1567,よもぎパン,60.2,149,5.15,2.51,25.48
1568,なすひき肉カレー,573.3,757,17.94,25.34,109.33
1569,しらす丼,366,516,13.47,4.87,99.92
1570,スンドゥブ雑炊,303,421,13.85,20.54,40.57
1571,ラーメン雑炊,430,417,11.35,12.3,63.77
1572,柿トースト,171,344,10.05,15.6,41.47
1573,あわび粥,348.3,327,15.46,8.92,42.63
1574,しらすチーズトースト,104,320,12.39,16.96,28.75
1575,納豆雑炊,339.2,319,15.13,8.41,44.37
1576,生ハムクリームチーズサンド,130.3,315,14.22,16.82,26.26
1577,スモークサーモンクリームチーズサンド,179.8,309,15.21,13.56,31.09
1578,ホタテ雑炊,401.5,309,22.04,5.42,40.27
1579,豆腐雑炊,391.5,301,13.82,8.65,40.21
1580,生ハムアボカドサンド,146.9,298,12.93,15.63,28.45
1581,しらすトースト,90,296,8.3,16.28,28.52
1582,鶏雑炊,338.5,294,12.46,8.67,39.4
1583,豚キムチ雑炊 ,310.8,292,8.45,10.07,39.35
1584,牛乳雑炊,291.5,283,9.62,7.49,42.21
1585,鮭雑炊,330.5,274,15.8,5.19,38.24
1586,豆乳雑炊,291.5,274,10.52,6.44,41.42
1587,かぼちゃ粥,351.5,271,4.64,0.56,59.86
1588,生ハムおにぎり,141,251,7.8,3.68,44.63
1589,しらすご飯,155,248,10.08,1.09,46.84
1590,キムチ雑炊,312.5,241,7.88,4.53,40.38
1591,にんにく雑炊,297,241,7.75,3.8,42.23
1592,生姜雑炊,303.5,234,7.31,4.49,39.39
1593,納豆粥,240.3,233,10.96,5.43,34.05
1594,カニ雑炊,310.5,233,9.56,3.48,38.22
1595,イクラおにぎり,132.5,232,6.88,1.97,45.2
1596,きのこ雑炊,331,228,7.94,3.57,40.75
1597,トマト雑炊,344.5,227,7.2,3.45,40.82
1598,ミルク粥,184.5,223,6.99,5.85,34.11
1599,しらすおにぎり,131,217,4.51,1.36,44.55
1600,キムチ粥,306,211,4.25,1.41,43.48
1601,生ハムサンド,100.3,211,11.76,6.92,25.56
1602,生ハムパン,60.3,204,7.68,12.76,14.33
1603,豆乳粥,184.5,194,7.42,3.23,31.64
1604,鮭粥,224.5,182,11.2,2.13,27.19
1605,たらこ粥,196.2,145,5.83,1.04,27.13
1606,明太子粥,196.2,143,5.38,0.82,27.53
1607,梅粥,191.2,136,2.37,0.38,29.2
1608,トマト粥,236.5,135,2.53,0.38,29.59
1609,きのこ粥,223,134,3.3,0.49,29.5
1610,オートミール粥 ,181.5,132,4.79,2,24.19
1611,ほうれん草粥,199,129,2.53,0.4,27.62
1612,にんにく粥,186.2,128,2.4,0.37,27.76
1613,緑茶粥,180,128,2.43,0.32,27.29
1614,生姜粥,192.5,127,2.27,0.35,27.68
1615,卵しょうが粥,171.4,118,4.46,2.9,17.19
1616,ホタテ粥,145,112,16.25,1.78,6.12
1617,イクラ寿司,31.6,63,4.05,1.75,7.7
1618,納豆カルボナーラ,386.1,857,31,43.94,79.07
1619,納豆ツナマヨパスタ,367,708,29.58,29.03,79.2
1620,納豆ツナパスタ,355,625,29.39,19.99,78.67
1621,納豆キムチパスタ,371,616,23.67,19.44,82.58
1622,納豆大根おろしパスタ,383,605,22.6,19.34,81.23
1623,納豆オクラパスタ,348,602,22.86,19.35,80.42
1624,納豆たくあんパスタ,336,598,22.55,19.32,79.46
1625,納豆バター醤油パスタ,323,594,22.67,19.41,78.75
1626,納豆パスタ,321,594,22.28,19.29,78.65
1627,納豆焼きそば,335.5,574,23.79,18.59,74.55
1628,納豆ピザ,234,557,30.21,20.5,61.61
1629,納豆そうめん,528,554,22.81,6.81,97.2
1630,オクラパスタ,307,503,14.77,14.37,74.97
1631,おろしそうめん,575,477,14.66,1.9,95.74
1632,納豆とろろそば,486,471,24.45,6.56,79.85
1633,オクラそうめん,507,466,14.96,1.88,93.85
1634,納豆チーズご飯,238.6,437,16.87,10.26,66.66
1635,納豆そば,428,402,21.91,6.42,64.93
