No,食品名,量(g),カロリー(kcal) ,タンパク質(g),脂質(g),炭水化物(g)
2990,鱧湯引き,134.6,202,24.2,5.88,10.75
2991,ささみ南蛮漬け,173.2,194,21.42,6.89,9.87
2992,キムチマヨネーズ,74,192,1.76,18.22,5.03
2993,たらこクリーム,130,189,10.61,11.6,9.76
2994,明太子クリーム,125,179,8.66,11.03,10.39
2995,ハタハタ煮付け,162,178,16.61,6.38,10
2996,鱒の煮付け,130,174,18.17,5.29,10.08
2997,さわら刺身,90,159,18.09,8.73,0.09
2998,たらこクリームチーズ,65,147,9.68,11.32,1.24
2999,かりんはちみつ,65.65,144,0.18,0.02,38.88
3000,明太子クリームチーズ,60,137,7.73,10.74,1.87
3001,カニ鍋,569.5,137,17.88,1.48,10.99
3002,湯豆腐,372.5,134,12.7,6.37,6.18
3003,りんごスープ,202.7,126,3.85,3.63,20.63
3004,りんごポタージュ,186.5,121,2.59,2.14,24.13
3005,トマト鍋,372.8,116,5.89,4.51,18.19
3006,鱧お吸い物,254.5,71,9.72,2.14,1.22
3007,ハタハタ塩焼き,57,63,7.9,3.19,0
3008,伊勢海老味噌汁,205,59,7.97,0.49,5.19
3009,伊勢海老の刺身,60,55,12.54,0.24,0
3010,たらこスプレッド,12,48,1.64,4.6,0.04
3011,明太子スプレッド,12,47,1.44,4.51,0.21
3012,かりんジャム,21,37,0.06,0.01,9.67
3013,かりんシロップ,15,34,0.03,0.01,8.81
3014,豚キムチマヨネーズ,422,764,19.92,65.24,20.09
3015,牛ひき肉のボロネーゼ,599.8,690,31.07,20.99,84.81
3016,目玉焼きハンバーグ,276.5,536,33.57,34.37,18.19
3017,うなぎ卵焼き,215,535,32.01,40.12,8.64
3018,ささみハム,264.5,508,50.36,29.97,3.33
3019,クリームチーズハンバーグ,235,494,28.2,32.43,18.26
